Date,Open,High,Low,Close,Adj Close,Volume
2011-05-24,448.746338,456.126373,448.746338,453.575562,418.683594,5126067
2011-05-25,452.758301,452.758301,446.269806,448.746338,414.225891,6051311
2011-05-26,452.015350,464.026489,451.272400,462.540588,426.959015,13845822
2011-05-27,462.664398,471.976135,462.664398,468.286102,432.262512,6984579
2011-05-30,470.019684,472.025665,462.738708,465.017090,429.244965,3490998
2011-05-31,468.063232,473.462067,464.249390,471.456055,435.188660,6499455
2011-06-01,471.530365,474.824127,467.394562,468.954773,432.879761,3711757
2011-06-02,463.877899,472.867676,463.877899,471.059814,434.822906,4346741
2011-06-03,475.740448,478.959930,461.376617,462.912048,427.301910,8819371
2011-06-06,462.936829,465.982941,459.717346,464.472260,428.742096,2838132
2011-06-07,462.391998,475.492798,462.391998,474.626007,438.114746,8128161
2011-06-08,473.140106,473.486816,467.543152,470.143524,433.977081,6555633
2011-06-09,469.301483,474.427887,469.053833,472.520966,436.171600,4223700
2011-06-10,473.065796,473.511597,461.649017,467.815582,431.828217,5108238
2011-06-13,467.196442,467.196442,456.175903,458.454315,423.187073,5964135
2011-06-14,458.305725,461.500427,450.727539,451.396210,416.671906,8753313
2011-06-15,451.718170,455.135773,445.081085,446.046936,411.734100,9302320
2011-06-16,446.269806,446.269806,437.899139,439.607971,405.790527,11523259
2011-06-17,441.465363,442.455963,428.537903,430.296234,397.195068,10166701
2011-06-20,433.391876,433.391876,410.162079,412.712891,380.964417,13983460
2011-06-21,416.006683,423.485779,414.718872,420.340576,388.005280,8036440
2011-06-22,422.668518,425.045990,413.158661,418.928986,386.702271,9279653
2011-06-23,419.300446,432.252686,418.978516,431.162994,397.995178,9559447
2011-06-24,432.970856,435.719818,423.782959,431.608795,398.406677,14615848
2011-06-27,429.280853,436.759949,426.878632,431.683075,398.475250,6622232
2011-06-28,435.323578,435.323578,426.952911,431.460175,398.269470,4716364
2011-06-29,433.738586,439.830841,431.955505,438.468750,404.738922,5736737
2011-06-30,440.177551,446.765106,439.335541,445.031555,410.796814,10035182
2011-07-01,449.241638,449.241638,424.327789,426.928162,394.086121,13234843
2011-07-04,433.094696,435.571228,428.438843,430.122864,397.035065,7614522
2011-07-05,430.568634,430.568634,418.037415,419.003265,386.770844,15601356
2011-07-06,420.439667,425.219330,416.402924,422.445648,389.948395,12404150
2011-07-07,424.971680,433.342346,423.609619,431.262054,398.086578,9293675
2011-07-08,432.401276,432.896576,421.999878,423.411469,390.839935,9662670
2011-07-11,422.990479,425.937531,419.523346,422.643768,390.131287,4429848
2011-07-12,419.770996,424.674500,418.879456,419.894806,387.593842,6030136
2011-07-13,422.519928,430.766754,421.554077,428.661713,395.686310,7859236
2011-07-14,427.596802,434.828247,425.640350,429.701843,396.646393,6143731
2011-07-15,429.776154,433.887177,428.438843,432.500336,399.229675,4710180
2011-07-18,431.856445,432.847046,428.042572,429.726624,396.669312,3037944
2011-07-19,429.677094,436.561829,428.934143,435.595978,402.087158,4533226
2011-07-20,438.840240,439.236481,430.320984,433.986237,400.601257,5159636
2011-07-21,433.862427,433.862427,424.748810,426.383301,393.583160,3639468
2011-07-22,428.934143,434.382477,427.200562,432.574615,399.298187,7062704
2011-07-25,441.812073,441.812073,435.447388,437.280029,403.641663,10109253
2011-07-26,439.954681,440.895752,430.618164,431.658325,398.452423,9443217
2011-07-27,433.391876,433.391876,425.541290,426.383301,393.583160,6311391
2011-07-28,423.485779,423.485779,412.787201,414.743652,382.838928,14444657
